titre,réalisateur(s),année de production,nationalité2,année de dernière diffusion,nb. de diffusions,dont en première partie de soirée,nb. moyen de diffusions par an
DEUX HEURES MOINS LE QUART AVANT JESUS-CHRIST,YANNE Jean,1982,France,2019,49,30,1.5
DELPHINE 1. YVAN 0,FARRUGIA Dominique,1996,France,2019,44,5,2.1
KIRIKOU ET LES BETES SAUVAGES,OCELOT Michel / GALUP Bénédicte,2004,France,2019,44,18,3.7
DOUZE TRAVAUX D'ASTERIX (LES),GOSCINNY René / UDERZO Albert,1975,France,2019,43,31,1.3
TRAVERSEE DE PARIS (LA),AUTANT-LARA Claude,1956,France,2019,43,21,0.8
FOUS DU STADE (LES),ZIDI Claude,1972,France,2017,42,26,1.1
PEAU D'ANE,DEMY Jacques,1970,France,2019,42,19,1.0
GRAND RESTAURANT (LE),BESNARD Jacques,1966,France,2019,41,23,0.9
KIRIKOU ET LA SORCIERE,OCELOT Michel,1995,France,2019,41,21,2.3
SCOUT TOUJOURS,JUGNOT Gérard,1985,France,2019,41,29,1.3
ASTERIX ET CLEOPATRE,GOSCINNY René / UDERZO Albert,1968,France,2019,40,30,1.1
ASTERIX LE GAULOIS,GOSCINNY René / UDERZO Albert,1967,France,2019,40,27,1.1
CARTOUCHE,DE BROCA Philippe,1961,France,2019,40,16,0.9
ASTERIX ET LA SURPRISE DE CESAR,BRIZZI Gaëtan / BRIZZI Paul,1985,France,2019,39,37,1.9
FLIC OU VOYOU,LAUTNER Georges,1979,France,2019,39,27,1.2
NIKITA,BESSON Luc,1989,France,2019,39,29,1.5
PACHA (LE),LAUTNER Georges,1967,France,2019,39,25,0.8
VIE EST UN LONG FLEUVE TRANQUILLE (LA),CHATILIEZ Etienne,1987,France,2019,39,27,1.4
ASTERIX CHEZ LES BRETONS,VAN LAMSWEERDE Pino,1985,France,2019,38,35,1.8
CAPITAN (LE),HUNEBELLE André,1960,France,2018,38,12,0.8
CHARLOTS FONT L'ESPAGNE (LES),GIRAULT Jean,1972,France,2017,38,22,1.1
SOUS-DOUES (LES),ZIDI Claude,1979,France,2019,38,25,1.1
SOUS-DOUES EN VACANCES (LES),ZIDI Claude,1981,France,2019,37,25,1.1
TULIPE NOIRE (LA),CHRISTIAN-JAQUE,1963,France,2019,37,10,0.8
11 COMMANDEMENTS (LES),DESAGNAT François / SORRIAUX Thomas,2003,France,2018,36,30,3.0
BIDASSES EN FOLIE (LES),ZIDI Claude,1971,France,2019,36,26,1.0
P.R.O.F.S.,SCHULMANN Patrick,1985,France,2019,36,25,1.2
BIDASSES S'EN VONT EN GUERRE (LES),ZIDI Claude,1974,France,2018,35,24,0.9
CERVEAU (LE),OURY Gérard,1968,France,2019,35,22,0.9
ASTERIX ET LE COUP DU MENHIR,GRIMOND Philippe,1988,France,2019,34,31,1.6
